subject,modality,trial,signal,response,accuracy,confidence,rt,rt_conf,contrast,repeat_exclude
35,GDP,58,0,0,1,7,1.26875850000033,1.95540100000017,0.5,0
35,Calories,59,1,1,1,7,1.21149170000081,0.803945499999827,300,0
35,Calories,60,1,1,1,7,0.974072941918166,1.34024210000007,300,0
35,Calories,61,1,1,1,7,1.43779030486166,1.04116040000008,250,0
35,GDP,62,0,0,1,1,4.63273309999931,1.85517079999954,0.5,0
35,GDP,63,0,1,0,5,3.02011369500542,1.07041370000024,0.75,0
35,GDP,64,1,1,1,6,2.09324729868604,0.889410200000384,0.75,0
35,GDP,65,1,1,1,1,2.54645590000018,1.0878131999998,0.5,0
35,GDP,66,0,1,0,5,1.69738849999976,1.12241419999918,0.75,0
35,Calories,67,0,1,0,4,4.8591292000001,1.52185370000007,300,0
35,Calories,68,0,0,1,7,1.18607531971065,1.35454649999974,300,0
35,GDP,69,1,1,1,3,2.70457249999981,0.972748300000603,0.75,0
35,GDP,70,0,0,1,5,2.99751919999926,1.9869832000004,0.5,0
35,GDP,71,1,0,0,4,2.65862620000007,1.40714219999973,0.75,0
35,Calories,72,1,1,1,4,1.7428890000001,1.10639100000026,250,0
35,Calories,73,1,1,1,7,1.27848866911972,0.870471399999587,250,0
35,Calories,74,1,1,1,7,1.19094669999959,0.887050599999384,200,0
35,Calories,75,1,1,1,7,1.42976280000039,0.855067700000291,200,1
35,Calories,76,1,1,1,7,0.886351554270732,1.72250179999992,150,0
35,GDP,77,1,1,1,4,3.18930155059206,1.00508720000016,0.75,0
35,Calories,78,1,0,0,6,1.61075249999976,2.07135770000059,200,0
35,Calories,79,0,1,0,2,1.11738965545283,2.60446159999992,250,0
35,Calories,80,1,0,0,3,3.80450334441593,2.14119720000053,300,0
35,Calories,81,0,0,1,3,1.6218187000004,1.42345340000065,300,0
35,GDP,82,1,1,1,4,1.96640709999974,0.956011499999477,0.5,0
35,GDP,83,0,1,0,4,1.66116330000023,1.27248710000003,0.75,1
35,GDP,84,0,0,1,3,1.7566239000007,1.32183519999944,0.75,0
35,Calories,85,1,1,1,7,2.00314889999936,0.854921199999808,250,0
35,GDP,86,0,0,1,3,1.95768509999925,1.02132079999956,0.5,1
35,Calories,87,0,0,1,7,1.07094289999986,2.07098229999974,250,0
35,GDP,88,1,0,0,6,1.38732119999986,1.12061489999996,0.625,1
35,GDP,89,0,0,1,1,1.75210510000034,1.35686369999985,0.625,0
35,GDP,90,0,0,1,5,2.38492549999955,1.52278139999999,0.5,0
35,GDP,91,0,1,0,5,1.57837050000035,1.10400889999983,0.625,0
35,GDP,92,1,1,1,2,3.30116379999981,1.73764649999976,0.625,0
